timestamp,sensor_id,value
1000,HUM_01,45.2
2000,HUM_01,45.5
3000,HUM_01,45.1
4000,HUM_01,45.8
5000,HUM_01,45.3
6000,HUM_01,45.6
7000,HUM_01,45.0
8000,HUM_01,45.9
9000,HUM_01,45.4
10000,HUM_01,45.2
11000,HUM_01,45.7
12000,HUM_01,45.1
13000,HUM_01,45.5
14000,HUM_01,45.3
15000,HUM_01,45.8
16000,HUM_01,45.2
17000,HUM_01,45.6
18000,HUM_01,45.0
19000,HUM_01,45.4
20000,HUM_01,45.9
21000,HUM_01,78.5
22000,HUM_01,45.3
23000,HUM_01,45.1
24000,HUM_01,45.7
25000,HUM_01,45.2
26000,HUM_01,45.5
27000,HUM_01,45.3
28000,HUM_01,45.8
29000,HUM_01,45.1
30000,HUM_01,45.6
31000,HUM_02,52.1
32000,HUM_02,52.4
33000,HUM_02,52.0
34000,HUM_02,52.6
35000,HUM_02,52.2
36000,HUM_02,52.5
37000,HUM_02,52.1
38000,HUM_02,52.7
39000,HUM_02,52.3
40000,HUM_02,52.0
