timestamp,sensor_id,value
1000,MOTION_01,0
2000,MOTION_01,0
3000,MOTION_01,0
4000,MOTION_01,1
5000,MOTION_01,1
6000,MOTION_01,1
7000,MOTION_01,0
8000,MOTION_01,0
9000,MOTION_01,0
10000,MOTION_01,0
11000,MOTION_01,0
12000,MOTION_01,1
13000,MOTION_01,1
14000,MOTION_01,0
15000,MOTION_01,0
16000,MOTION_01,0
17000,MOTION_01,0
18000,MOTION_01,0
19000,MOTION_01,0
20000,MOTION_01,0
21000,MOTION_02,0
22000,MOTION_02,0
23000,MOTION_02,1
24000,MOTION_02,1
25000,MOTION_02,1
26000,MOTION_02,1
27000,MOTION_02,0
28000,MOTION_02,0
29000,MOTION_02,0
30000,MOTION_02,0
